probe	EntrezGene.ID	coefficient
AP2M1	1173	10.3838758186575
AKT1	207	14.0801937541055
SLC30A4	7782	1
CNOT3	4849	9.37969096374893
PIP5K1C	23396	1
PPP2R1A	5518	10.0315383229385
PLXNA3	55558	1
C19ORF24	NA	11.0035299933244
MKNK2	2872	1
L2HGDH	79944	1
ZBTB17	7709	1
C19ORF28	NA	16.5372837111953
SEPN1	57190	1
BIRC5	332	1
REXO1	57455	1
ATXN3	4287	1
PTBP1	5725	1
RPP25	54913	19.7849156544791
LMNB2	84823	9.23011183880666
GDI1	2664	1
ZNF341	84905	1
GUSBP1	728411	1
NAT14	57106	1
DYNC1H1	1778	1
ZCCHC6	79670	1
PBX1	5087	1
BAT3	NA	1
FOXM1	2305	11.8794957925382
ZNF148	7707	1
BRD3	8019	1
STK11IP	114790	12.2214187365544
ZNF562	54811	17.0073357029863
WDR18	57418	1
PRKRIP1	79706	1
ATG12	9140	1
CLEC16A	23274	1
AES	166	12.712769777986
DCBLD1	285761	15.0203251651834
SPC24	147841	1
DNAH7	56171	1
GTF3C1	2975	16.8151031160123
TGFBRAP1	9392	1
MORC2	22880	17.3919554544228
ACER3	55331	12.1145217884337
CEACAM5	1048	10.8539476300329
CHST1	8534	1
PCDH17	27253	1
C9ORF140	NA	17.220995699255
RECQL4	9401	1
ESRRAP2	144832	1
ZDHHC24	254359	1
PGP	283871	11.1316858055978
TSPAN17	26262	1
POLQ	10721	1
CKAP2L	150468	1
FAM158A	NA	16.4733361165171
SAE1	10055	9.44392703986716
PAFAH1B3	5050	1
HOXC9	3225	11.0675878067172
DNA2	1763	1
PKMYT1	9088	15.6826437261206
INO80C	125476	-1
TDG	6996	1
E2F2	1870	14.2724877507473
CDC20	991	1
ATP6V0C	527	12.9264297742547
F12	2161	9.93518982649328
ARID4B	51742	1
C1ORF135	NA	10.4907058167918
TSTA3	7264	20.3190656451508
LOC728037	NA	1
FOXD4	2298	1
UHMK1	127933	1
KIF2C	11004	11.7085677955233
RYBP	23429	11.1958655804434
ACTR1A	10121	1
NVL	4931	16.3236237149266
ATG4A	115201	1
MXD3	83463	1
CDCA2	157313	19.5071932799608
CENPF	1063	11.4735417996277
TUBB2C	NA	1
WDR24	84219	1
C14ORF184	NA	14.7211737429115
ATOX1	475	16.9542612550622
PLK1	5347	14.9776204375154
ASF1B	55723	10.1809360035322
BIK	638	1
UBE2C	11065	9.99928782537388
CDC25C	995	1
YTHDF1	54915	1
GPC5	2262	1
ARMCX2	9823	-1
KRT15	3866	-1
STIL	6491	1
SMYD4	114826	-1
RERG	85004	-1
PRC1	9055	12.4136911186825
NR2C2	7182	1
RNF135	84282	1
RAD54L	8438	12.5418417809711
ANKRD12	23253	-1
CENPM	79019	1
ATP5A1	498	-1
SLC44A1	23446	-1
RPL23AP42	647099	-1
ZNF319	57567	-1
CDCA5	113130	13.4713119627011
POLD1	5424	1
SUSD3	203328	-1
RABIF	5877	9.01645184253799
LPGAT1	9926	1
LOC400657	NA	-1
VDAC3	7419	10.9930476934578
S100P	6286	11.1103400937345
MIDN	90007	1
C14ORF80	NA	15.447617730225
AP2S1	1175	16.7082117082102
TSHZ1	10194	1
FGF23	8074	1
C21ORF128	NA	1
SRFBP1	153443	1
HES6	55502	17.9474396865685
CCDC60	160777	1
MXD1	4084	-1
DET1	55070	-1
ISCU	23479	-1
APRT	353	-11.0462218070904
NTNG1	22854	1
OXA1L	5018	1
IRS2	8660	-1
POC1A	25886	1
LIN9	286826	19.8917456526134
C11ORF74	NA	1
TMEM60	85025	-1
CHMP1B	57132	1
CCNB1	891	14.6570757440309
TEKT3	64518	1
RDX	5962	-1
RPS9P4	388556	1
EBPL	84650	-1
CLECL1	160365	-1
WBP4	11193	-1
MED30	90390	-1
PNMA3	29944	11.3880778011203
VPS4B	9525	-1
RPL38	6169	-1
RWDD3	25950	-1
ESD	2098	-1
CXCL12	6387	1
SFRP1	6422	-1
TSPAN7	7102	1
ANXA5	308	-1
FCER1A	2205	-1
MAPKSP1	NA	-1
FBN2	2201	11.3453872358355
RPL34	6164	-1
RPL26P33	100132547	-1
SYCP2	10388	1
C17ORF48	NA	-1
SLC2A12	154091	-1
KLRB1	3820	-1
HOXD12	3238	-1
SMAD4	4089	-1
OSTC	58505	-9.16601383992606
PTPLA	NA	-1
TMEM14C	51522	-1
MITD1	129531	-1
DDX3X	1654	-1
HNMT	3176	-1
DPT	1805	-1
ARL2BP	23568	-1
MAMDC2	256691	1
SCARA5	286133	-1
MGP	4256	-1
FAM165B	NA	-1
PDGFD	80310	1
MYC	4609	-1
DARC	NA	-1
F3	2152	15.595555754829
SDPR	8436	-16.0037323878015
C7ORF23	NA	-16.2287329301184
THAP11	57215	-16.2658076209349
DTWD1	56986	-16.3577231271392
MFAP4	4239	-16.8388311556488
ZFP36L2	678	-17.9519611168752
LOC652799	NA	18.2987901721479
CCDC59	29080	18.99192530664
PLSCR4	57088	-19.3621883347304
RPL7P20	728843	-19.5657419220031
SNCA	6622	-21.1471144493968
WTIP	126374	-23.8660342569784
CDO1	1036	-25.3001780075882
DPM1	8813	25.6719930540426
